id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kepadatan_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1263,JIWA/KM2,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,584,JIWA/KM2,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,611,JIWA/KM2,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2013,JIWA/KM2,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,700,JIWA/KM2,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,604,JIWA/KM2,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,584,JIWA/KM2,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,914,JIWA/KM2,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1913,JIWA/KM2,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,944,JIWA/KM2,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,703,JIWA/KM2,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,868,JIWA/KM2,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,706,JIWA/KM2,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,850,JIWA/KM2,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,985,JIWA/KM2,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1962,JIWA/KM2,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1192,JIWA/KM2,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,JIWA/KM2,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,8309,JIWA/KM2,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,6543,JIWA/KM2,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,13524,JIWA/KM2,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,8101,JIWA/KM2,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,10993,JIWA/KM2,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,8039,JIWA/KM2,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,11516,JIWA/KM2,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3659,JIWA/KM2,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,1399,JIWA/KM2,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,1412,JIWA/KM2,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,588,JIWA/KM2,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,577,JIWA/KM2,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1975,JIWA/KM2,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,711,JIWA/KM2,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,644,JIWA/KM2,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,850,JIWA/KM2,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1002,JIWA/KM2,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2088,JIWA/KM2,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1029,JIWA/KM2,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,725,JIWA/KM2,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,894,JIWA/KM2,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,813,JIWA/KM2,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1034,JIWA/KM2,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1152,JIWA/KM2,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,2028,JIWA/KM2,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1188,JIWA/KM2,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,395,JIWA/KM2,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,8297,JIWA/KM2,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,6656,JIWA/KM2,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,13963,JIWA/KM2,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,8519,JIWA/KM2,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,11532,JIWA/KM2,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,8154,JIWA/KM2,2014
